Year,Life_expectancy ,infant_deaths,Alcohol,percentage_expenditure,Hepatitis B,Measles ,under_five_deaths ,Polio,Total_expenditure,Diphtheria ,Income_composition_of_resources,Schooling
2015,65,62,0.01,71.27962362,65,1154,83,6,8.16,65,0.479,10.1
2014,59.9,64,0.01,73.52358168,62,492,86,58,8.18,62,0.476,10
2013,59.9,66,0.01,73.21924272,64,430,89,62,8.13,64,0.47,9.9
2012,59.5,69,0.01,78.1842153,67,2787,93,67,8.52,67,0.463,9.8
2011,59.2,71,0.01,7.097108703,68,3013,97,68,7.87,68,0.454,9.5
2010,58.8,74,0.01,79.67936736,66,1989,102,66,9.2,66,0.448,9.2
2009,58.6,77,0.01,56.76221682,63,2861,106,63,9.42,63,0.434,8.9
2008,58.1,80,0.03,25.87392536,64,1599,110,64,8.33,64,0.433,8.7
2007,57.5,82,0.02,10.91015598,63,1141,113,63,6.73,63,0.415,8.4
2006,57.3,84,0.03,17.17151751,64,1990,116,58,7.43,58,0.405,8.1
2005,57.3,85,0.02,1.388647732,66,1296,118,58,8.7,58,0.396,7.9
2004,57,87,0.02,15.29606643,67,466,120,5,8.79,5,0.381,6.8
2003,56.7,87,0.01,11.08905273,65,798,122,41,8.82,41,0.373,6.5
2002,56.2,88,0.01,16.88735091,64,2486,122,36,7.76,36,0.341,6.2
2001,55.3,88,0.01,10.5747282,63,8762,122,35,7.8,33,0.34,5.9
2000,54.8,88,0.01,10.42496,62,6532,122,24,8.2,24,0.338,5.5
2015,77.8,0,4.6,364.9752287,99,0,0,99,6,99,0.762,14.2
2014,77.5,0,4.51,428.7490668,98,0,1,98,5.88,98,0.761,14.2
2013,77.2,0,4.76,430.8769785,99,0,1,99,5.66,99,0.759,14.2
2012,76.9,0,5.14,412.4433563,99,9,1,99,5.59,99,0.752,14.2
2011,76.6,0,5.37,437.0621,99,28,1,99,5.71,99,0.738,13.3
2010,76.2,1,5.28,41.82275719,99,10,1,99,5.34,99,0.725,12.5
2009,76.1,1,5.79,348.0559517,98,0,1,98,5.79,98,0.721,12.2
2008,75.3,1,5.61,36.62206845,99,0,1,99,5.87,99,0.713,12
